시군구,행정동,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
강남구,일원본동,22592,516,1133,1742,1494,1075,1064,1144,1421,2124,2131,2009,1547,1435,1561,1010,562,321,158,107,34,4
강남구,일원1동,14285,247,290,410,509,660,1151,1246,932,984,963,1001,1037,1197,1297,923,707,423,211,66,28,3
강남구,수서동,13619,275,203,195,290,379,616,981,860,832,689,776,958,1312,1776,1385,1031,577,322,115,40,7
송파구,소계,650110,16611,24529,29110,27740,32018,49024,56305,49589,55343,49386,52496,47508,46494,43121,29172,20379,12245,6062,2288,603,87
송파구,풍납1동,11277,254,237,275,360,486,693,797,763,791,717,910,953,1110,1088,735,516,360,178,44,9,1
송파구,풍납2동,23050,649,808,926,868,1206,1831,1849,1775,1885,1677,1878,1652,1616,1676,1080,817,500,236,96,21,4
송파구,거여1동,11821,199,247,358,415,610,901,943,718,758,750,1081,1048,1087,938,662,538,332,165,51,19,1
송파구,거여2동,23319,739,911,839,841,1107,1253,1682,1788,1852,1618,1994,1971,1862,1779,1162,939,584,267,101,25,5
송파구,마천1동,16162,213,352,566,627,795,921,982,805,964,1032,1510,1519,1599,1502,1018,805,586,271,79,14,2
송파구,마천2동,17260,224,289,439,554,801,1079,1090,867,1022,1120,1507,1706,1875,1688,1152,829,607,289,92,26,4
송파구,방이1동,14999,273,557,708,719,873,1089,1138,1035,1144,1177,1330,1164,1159,1002,698,426,271,152,62,18,4
송파구,방이2동,26121,398,431,447,587,1270,3727,4100,2605,2052,1527,1683,1660,1616,1487,1048,723,462,197,84,13,4
송파구,오륜동,17575,305,790,1289,1164,939,850,793,842,1395,1595,1469,1400,1347,1309,986,589,284,127,78,23,1
송파구,오금동,37913,884,1305,1392,1587,1933,2563,2765,2523,2760,2565,3262,3347,3311,3014,1946,1294,763,436,216,42,5
송파구,송파1동,23101,421,436,510,603,1076,2726,3322,2206,1766,1434,1556,1569,1579,1434,1057,666,435,205,80,19,1
송파구,송파2동,18564,431,748,915,851,969,1278,1386,1347,1576,1395,1484,1396,1447,1347,890,546,315,157,69,16,1
송파구,석촌동,30392,534,551,700,814,1453,3314,4084,2873,2459,1992,2219,2085,2140,1949,1302,955,585,272,88,21,2
